,antigen_recognition_function,antigenic_feature_range,antigenic_feature_count,lymphocytes_count,somatic_hypermutation_cycles,somatic_hypermutation_rate,clonal_expansion_factor,best_solution,best_fitness,elapsed_time
40,sphere,"(-100, 100)",5,500,250,0.01,3,[ 33.43668007 -12.38254447   0.10772986  -9.34590576 -23.68570328],1919.7090816910836,1.0913479328155518
41,sphere,"(-100, 100)",5,500,250,0.01,4,[-18.04361672  16.63178944   8.12496293  -6.44534154  -8.06793855],774.8376068090029,1.0793511867523193
42,sphere,"(-100, 100)",5,500,250,0.1,2,[ 1.91309755 -1.41518279 -0.01793229 14.26696225 -1.61355263],211.8127699474982,1.0150699615478516
43,sphere,"(-100, 100)",5,500,250,0.1,3,[-24.62332006  16.43498385  10.96258935 -27.93901943 -26.45889647],2477.256959596484,1.0751490592956543
44,sphere,"(-100, 100)",5,500,250,0.1,4,[  7.49585585 -30.99509169   0.5341299  -24.65642659 -19.64081506],2010.8698471504067,1.0683472156524658
45,sphere,"(-100, 100)",5,500,500,0.001,2,[  7.49867747 -31.00924917   0.53312129 -24.66671906 -19.64865527],2012.6045991738579,2.030215263366699
46,sphere,"(-100, 100)",5,500,500,0.001,3,[  7.4986871  -31.00922323   0.53312234 -24.66668804 -19.64860969],2012.5998143464644,2.062913179397583
47,sphere,"(-100, 100)",5,500,500,0.01,2,[  7.49831068 -31.00724309   0.53296985 -24.66524117 -19.64753112],2012.3574450361489,1.9979398250579834
48,sphere,"(-100, 100)",5,500,500,0.001,4,[  7.4986567  -31.00918831   0.53314597 -24.66667239 -19.64861408],2012.5966181635456,2.220749616622925
49,sphere,"(-100, 100)",5,500,500,0.01,3,[  7.49839239 -31.00699829   0.53297496 -24.66496397 -19.64701637],2012.3095936688799,2.182156801223755
50,sphere,"(-100, 100)",5,500,500,0.1,2,[-16.96226783 -32.16522272  10.21471757  -7.10036102  19.30946314],1849.9310310690882,2.0311121940612793
51,sphere,"(-100, 100)",5,500,500,0.01,4,[ 13.94265575   6.01508923  11.15294709  -3.57916124 -48.72098841],2741.512283056205,2.189404010772705
52,sphere,"(-100, 100)",5,500,500,0.1,3,[-13.75604592  10.40009188  -9.29354573   1.35426664 -19.91774695],782.3113844786735,2.101186990737915
53,sphere,"(-100, 100)",5,500,500,0.1,4,[ 15.08941902  -7.82611551 -13.28011002 -20.16743218  -1.0928227 ],873.2195543883503,2.18446683883667
54,sphere,"(-100, 100)",5,500,750,0.001,2,[ 23.21259318  16.18990798   3.25970252 -22.61318353  -8.59656644],1396.8202871841702,3.023082971572876
55,sphere,"(-100, 100)",5,500,750,0.01,2,[-21.53127942  -2.17163461 -17.43810366  -0.08264334  -2.19743024],777.2349790343847,3.0731170177459717
56,sphere,"(-100, 100)",5,500,750,0.001,3,[-21.53948114  -2.17241048 -17.44455532  -0.0828178   -2.19846397],777.8212279088366,3.204807996749878
57,sphere,"(-100, 100)",5,500,750,0.001,4,[-21.53934182  -2.17239483 -17.44451147  -0.08281269  -2.19838686],777.8132883554088,3.29610013961792
58,sphere,"(-100, 100)",5,500,750,0.01,3,[-21.52979006  -2.17107193 -17.43670248  -0.08259126  -2.19759315],777.1202438402839,3.155834197998047
59,sphere,"(-100, 100)",5,500,750,0.01,4,[-21.52839188  -2.17096768 -17.43625626  -0.08256157  -2.19686261],777.0408114842086,3.2499301433563232
60,sphere,"(-100, 100)",5,500,750,0.1,2,[ 11.46393899  14.05105935 -31.25650316 -12.9058412    7.84034625],1533.8549220447449,3.077378034591675
61,sphere,"(-100, 100)",5,500,750,0.1,3,[25.85704971 -5.21012632  3.52890361 20.53796306 14.3924806 ],1337.1370210833597,3.219031810760498
62,sphere,"(-100, 100)",5,500,750,0.1,4,[  0.95760349  11.25442439 -11.36754535 -31.41201662  11.0322649 ],1365.225817135606,3.1961982250213623
63,sphere,"(-100, 100)",5,500,1000,0.001,2,[ 18.92551264  14.62209456 -11.88733879   3.76308171   8.30795604],796.4724191138985,4.123564958572388
64,sphere,"(-100, 100)",10,1000,250,0.001,2,"[-15.33251339  61.40752852  14.25998153  19.38106293  -6.6444661
  12.16510119 -12.24466429  38.24778129  60.55916944   7.59128668]",10114.947029894225,2.041672945022583
65,sphere,"(-100, 100)",5,500,1000,0.001,3,[ 15.4258291  -10.46420588  15.64657578 -17.29772902 -26.99636844],1620.2864799738004,4.179681062698364
66,sphere,"(-100, 100)",5,500,1000,0.01,2,"[-1.02430127e+01  1.08898531e+01  9.18168424e-03 -1.97669776e+01
 -4.89409355e+00]",638.1938477175737,4.115593910217285
67,sphere,"(-100, 100)",10,1000,250,0.001,3,"[ 45.28570724  51.2429007   35.6364208   10.93811684   1.6254377
 -11.96190223  10.97344698 -17.8311859   23.48483497 -26.57288934]",7907.979843626118,2.1392719745635986
68,sphere,"(-100, 100)",5,500,1000,0.001,4,"[-1.02502765e+01  1.08968531e+01  9.10330593e-03 -1.97799852e+01
 -4.89708615e+00]",639.0389287613922,4.29588770866394
69,sphere,"(-100, 100)",5,500,1000,0.01,3,"[-1.02431646e+01  1.08879556e+01  1.05545295e-02 -1.97638051e+01
 -4.89308925e+00]",638.0204250525674,4.215646982192993
70,sphere,"(-100, 100)",5,500,1000,0.1,2,"[-1.01646327e+01  1.08167081e+01  1.23620729e-02 -1.96322540e+01
 -4.86536272e+00]",629.4182380159557,4.123650789260864
71,sphere,"(-100, 100)",5,500,1000,0.01,4,"[-1.02415969e+01  1.08863822e+01  9.26825101e-03 -1.97625764e+01
 -4.89270299e+00]",637.9016777572675,4.344177007675171
72,sphere,"(-100, 100)",5,500,1000,0.1,3,[-15.04910827  13.58585363 -18.23954954 -30.1181884   13.42147027],1830.9733827098412,4.1996660232543945
73,sphere,"(-100, 100)",5,500,1000,0.1,4,[  0.82398368 -28.9388806    7.07617634  -9.01234315  18.22593942],1301.6172281103545,4.377456188201904
74,sphere,"(-100, 100)",10,1000,250,0.01,2,"[-33.08062656 -26.21645232 -80.1003703   -1.56367065   7.26566047
  12.99871147   4.63384656   0.98349135  -0.23314679 -14.51573565]",8655.101664505255,2.0662498474121094
75,sphere,"(-100, 100)",10,1000,250,0.001,4,"[ 23.60272671  20.86508736 -35.38239154 -20.35987428  -7.50920636
 -29.16405573 -29.91046529 -10.35545514  -4.31156156 -16.00747208]",4842.509127494731,2.201680898666382
76,sphere,"(-100, 100)",10,1000,250,0.01,3,"[-13.59024169  14.08520353 -10.14919038 -24.20506158  19.89925515
  11.62353219 -21.90998788 -23.83956179  50.58426977  24.17691462]",5794.72937836971,2.1107380390167236
77,sphere,"(-100, 100)",10,1000,250,0.01,4,"[ -6.49492867 -16.8034101   26.89937716  11.96061289  15.23122502
  11.76072402  11.62063447  35.37102499  31.11518296   8.11087426]",3981.565732101301,2.2132339477539062
78,sphere,"(-100, 100)",10,1000,250,0.1,2,"[-13.58954423  14.08405257 -10.14851184 -24.20357737  19.89804509
  11.62316125 -21.90885052 -23.83827023  50.58109087  24.175093  ]",5794.0145082835525,2.0906879901885986
79,sphere,"(-100, 100)",10,1000,250,0.1,3,"[-13.58940755  14.08427033 -10.14850109 -24.20320428  19.89797894
  11.62294849 -21.90838691 -23.83757251  50.58046595  24.17503122]",5793.871287755265,2.163735866546631
80,sphere,"(-100, 100)",10,1000,250,0.1,4,"[-13.58939378  14.08386626 -10.14789122 -24.2026208   19.89777899
  11.62259832 -21.90836277 -23.83737826  50.58034268  24.17498536]",5793.777806829678,2.178689956665039
81,sphere,"(-100, 100)",10,1000,500,0.001,2,"[-13.59031415  14.08528724 -10.14924792 -24.20523322  19.8993668
  11.62358583 -21.91013289 -23.83975111  50.58461911  24.17709503]",5794.808321133228,4.0731470584869385
82,sphere,"(-100, 100)",10,1000,500,0.001,3,"[-29.90149524  -4.7017158   23.13860992 -13.76695337 -53.38808408
  27.59378097 -41.97602641  38.28666471  20.57427302 -30.82794012]",9854.352183631247,4.264364719390869
83,sphere,"(-100, 100)",10,1000,500,0.01,2,"[-45.06347567 -32.00306451  -3.43353685  15.01630918 -41.39988692
  15.61948028 -27.07203524 -46.7892346  -55.22036492  13.95306069]",11416.214665883263,4.222269773483276
84,sphere,"(-100, 100)",10,1000,500,0.01,3,"[-27.91138923 -15.99283716  67.57438704 -19.54017109 -28.01652505
 -10.56583737  -2.62746225  25.4781435  -33.31735052  10.30516376]",8751.776753645985,4.238703012466431
85,sphere,"(-100, 100)",10,1000,500,0.001,4,"[-18.78949861  56.11346174  -3.56061087  -8.05189928  -3.80959969
  23.17949498 -30.47607484  -1.12081198  53.93809206 -54.13776592]",10901.341747226466,4.421734094619751
86,sphere,"(-100, 100)",10,1000,500,0.1,2,"[ 73.25147724 -40.06650051   5.41647675  24.96679918  35.78748514
   7.68534132  -3.05268929 -33.8831399   -4.32687606   8.55948612]",10212.963966644174,4.160611867904663
