,antigen_recognition_function,antigenic_feature_count,somatic_hypermutation_cycles,somatic_hypermutation_rate,clonal_expansion_factor,immune_responses,immune_memory_lymphocytes_count,best_fitness,elapsed_time
30,sphere,3,250,0.001,4,10,0.01,10.716146587239225,6.807924747467041
31,sphere,3,250,0.01,2,5,0.1,140.46983644823928,3.1787726879119873
32,sphere,3,250,0.01,3,3,0.001,333.6269183916183,2.052093982696533
33,sphere,3,250,0.01,3,3,0.01,185.31145464759948,3.9842965602874756
34,sphere,3,250,0.001,4,10,0.1,10.039084409732986,6.732104301452637
35,sphere,3,250,0.01,2,10,0.001,225.96832272357273,13.303261995315552
36,sphere,3,250,0.01,3,5,0.001,464.9717977886798,3.3006434440612793
37,sphere,3,250,0.01,3,3,0.1,108.09377440529998,2.012174129486084
38,sphere,3,250,0.01,2,10,0.01,6.337594620980454,6.4370341300964355
39,sphere,3,250,0.01,3,5,0.01,49.86586809695676,3.2699196338653564
40,sphere,3,250,0.01,4,3,0.001,693.5083027238446,1.9813852310180664
41,sphere,3,250,0.01,2,10,0.1,105.96807469866972,6.308070659637451
42,sphere,3,250,0.01,3,5,0.1,107.59464952810774,3.2971246242523193
43,sphere,3,250,0.01,4,3,0.01,315.873950225131,2.0169906616210938
44,sphere,3,250,0.01,3,10,0.001,8.653520068256016,6.423386573791504
45,sphere,3,250,0.01,4,5,0.001,600.1430434538845,3.345590829849243
46,sphere,3,250,0.01,4,5,0.01,91.16365157897631,6.69189715385437
47,sphere,3,250,0.01,4,3,0.1,304.758023935648,2.066864490509033
48,sphere,3,250,0.01,3,10,0.01,3.752312077632875,6.483714580535889
49,sphere,3,250,0.1,2,3,0.001,392.44780914831387,1.8805909156799316
50,sphere,3,250,0.01,4,5,0.1,83.29467851308657,3.3446731567382812
51,sphere,3,250,0.01,3,10,0.1,1.637143832533535e-07,6.507200479507446
52,sphere,3,250,0.1,2,3,0.01,154.15746762657952,1.8413257598876953
53,sphere,3,250,0.1,2,5,0.001,992.9706149640588,3.174057960510254
54,sphere,3,250,0.01,4,10,0.001,473.2406567324091,6.8685691356658936
55,sphere,3,250,0.1,2,5,0.01,74.74493890308378,3.28371262550354
56,sphere,3,250,0.1,2,3,0.1,74.63041890187598,1.9432742595672607
57,sphere,3,250,0.1,3,3,0.001,393.5949731880016,3.935208320617676
58,sphere,3,250,0.01,4,10,0.01,16.094652865592327,6.804434537887573
59,sphere,3,250,0.1,2,5,0.1,116.90537101952286,3.1293249130249023
60,sphere,3,250,0.1,3,3,0.01,181.80552174153772,1.93398118019104
61,sphere,3,250,0.01,4,10,0.1,61.739030962709045,6.722675561904907
62,sphere,3,250,0.1,3,5,0.001,537.6826308955398,3.2882072925567627
63,sphere,3,250,0.1,2,10,0.001,231.7486877090383,6.417193174362183
64,sphere,3,250,0.1,3,3,0.1,122.70041560794272,1.8894100189208984
65,sphere,3,250,0.1,2,10,0.01,1.9682754798978703e-08,6.350863933563232
66,sphere,3,250,0.1,3,5,0.01,2.184149085234754e-06,3.207444429397583
67,sphere,3,250,0.1,4,3,0.001,169.85552808079697,1.9729821681976318
68,sphere,3,250,0.1,2,10,0.1,5.369467992397156e-06,6.246079683303833
69,sphere,3,250,0.1,3,5,0.1,97.70075874743009,3.2166173458099365
70,sphere,3,250,0.1,4,3,0.01,282.9454836753264,1.9181530475616455
71,sphere,3,250,0.1,4,5,0.001,215.66536640474328,3.2904207706451416
72,sphere,3,250,0.1,3,10,0.001,378.1117264960363,6.457388401031494
73,sphere,3,250,0.1,4,3,0.1,168.68994845655286,1.99943208694458
74,sphere,3,250,0.1,4,5,0.01,210.39291997019117,3.3038768768310547
75,sphere,3,250,0.1,3,10,0.01,128.9038661301083,6.436280012130737
76,sphere,3,250,0.1,3,10,0.1,3.999420904885812e-06,12.79644775390625
77,sphere,3,250,0.1,4,5,0.1,156.4557034035086,3.3161585330963135
78,sphere,3,250,0.1,4,10,0.001,409.45523017533674,6.540677070617676
