,antigen_recognition_function,statistic,p
0,sphere,3657.7030678825063,0.0
1,ackley,1168.677311073795,5.611387251919235e-259
2,rastrigin,1248.7552967268925,6.250839746633715e-269
3,griewank,1705.8921065813895,3.483316e-318
4,rosenbrock,1127.6861639117867,1.0769057696419655e-253
