,antigen_recognition_function,statistic,p
0,sphere,351.798917193428,2.8607379260915756e-47
1,ackley,154.4030732955969,5.377729990377411e-32
2,rastrigin,190.05525908256942,1.2758567581976406e-35
3,griewank,158.16481709427913,2.0882518360845357e-32
4,rosenbrock,211.6793770605595,1.441021832903709e-37
