,antigen_recognition_function,antigenic_feature_count,mannwhitneyu_p_value,bootstrap_confidence_interval_low,bootstrap_confidence_interval_high
0,sphere,3,8.51741984871545e-06,58.21551444839858,153.47756602498407
1,sphere,5,0.002750113206153453,107.74983844869661,548.5470566942151
2,sphere,10,5.108750022895846e-09,1501.8316854661186,2912.5425579537236
3,ackley,3,0.010578228214808461,-0.12536036604895465,1.8886848530615925
4,ackley,5,5.254163758543929e-05,0.8625590979209158,1.994196980048143
5,ackley,10,0.00019433076436698146,0.43231297140624364,1.1294390308123907
6,rastrigin,3,0.03394444511115369,-0.14372170195364622,2.1796251779384
7,rastrigin,5,0.021523268045116388,0.1849427913077152,6.39595759280304
8,rastrigin,10,5.578730098852887e-06,9.515609981024875,24.749411123125803
9,griewank,3,0.0023506247160953514,0.030863187409732276,0.16119130919328525
10,griewank,5,0.02625978789104785,0.01734183454984251,0.32414334196921846
11,griewank,10,1.979818434384968e-05,0.24592513220698908,0.7556535146896532
12,rosenbrock,3,2.4094401584147924e-05,25.854771045923513,139.41032580324602
13,rosenbrock,5,0.00015402235281387317,819.9723284998596,3499.1775348063343
14,rosenbrock,10,5.704216801890352e-10,25751.196260861816,48512.478941125846
